,title,release_date,revenue,runtime,budget,original_language,genres,imdb_rating,imdb_votes
787,Madagascar,2005-05-25,542100000.0,86.0,75000000.0,en,"Family, Animation, Adventure, Comedy",6.9,445629.0
790,Mission: Impossible III,2006-04-25,398479497.0,126.0,150000000.0,en,"Adventure, Action, Thriller",6.9,395926.0
835,Whale Rider,2003-01-30,41400000.0,101.0,8000000.0,en,"Drama, Family",7.5,44357.0
844,The Wind That Shakes the Barley,2006-06-23,22900000.0,127.0,6500000.0,en,"Drama, War",7.5,55473.0
845,Catch a Fire,2006-10-27,5700000.0,101.0,14000000.0,en,"Action, Drama, Thriller",6.7,11097.0
846,The Prestige,2006-10-17,109676311.0,130.0,40000000.0,en,"Drama, Mystery, Science Fiction",8.5,1469264.0
847,Dreamgirls,2006-12-25,154937680.0,130.0,70000000.0,en,"Drama, Music",6.6,78036.0
852,Babel,2006-10-26,135300000.0,143.0,25000000.0,en,Drama,7.5,319703.0
853,The Queen,2006-09-15,123384128.0,103.0,15000000.0,en,"Drama, History",7.3,116721.0
857,Rocky Balboa,2006-12-20,155900000.0,102.0,24000000.0,en,Drama,7.1,234101.0
858,The Good Shepherd,2006-12-11,100266865.0,167.0,85000000.0,en,"Drama, Thriller, History",6.7,109293.0
859,Hannibal Rising,2007-02-06,82169884.0,121.0,75000000.0,en,"Crime, Thriller, Horror",6.1,117299.0
861,Ghost Rider,2007-01-15,228738393.0,114.0,110000000.0,en,"Thriller, Action, Fantasy",5.3,256034.0
862,Letters from Iwo Jima,2006-12-09,68673228.0,141.0,19000000.0,en,"Action, Drama, War",7.8,171589.0
863,Lonely Hearts,2006-04-30,2520000.0,108.0,18000000.0,en,"Drama, Thriller, Crime, Romance",6.4,22549.0
869,Notes on a Scandal,2006-12-25,49814392.0,92.0,15000000.0,en,"Drama, Romance",7.4,85786.0
871,Stranger Than Fiction,2006-09-09,53653224.0,113.0,30000000.0,en,"Comedy, Drama, Fantasy, Romance",7.5,238184.0
874,Bridge to Terabithia,2007-02-15,137587063.0,96.0,60000000.0,en,"Adventure, Drama, Family",7.2,176961.0
875,Street Kings,2008-04-10,66500000.0,109.0,20000000.0,en,"Action, Crime, Drama, Thriller",6.8,122398.0
876,Meet the Robinsons,2007-03-23,169332978.0,95.0,150000000.0,en,"Animation, Comedy, Family",6.8,113748.0
877,Mr. Bean's Holiday,2007-03-22,232225908.0,90.0,25000000.0,en,"Family, Comedy",6.4,135833.0
879,300,2007-03-07,456082343.0,116.0,65000000.0,en,"Action, Adventure, War",7.6,875241.0
880,Sunshine,2007-04-05,34800000.0,107.0,50000000.0,en,"Drama, Science Fiction, Thriller",7.2,271317.0
881,TMNT,2007-03-23,95608995.0,86.0,34000000.0,en,"Adventure, Animation, Comedy, Family",6.2,69972.0
883,The Dreamers,2003-09-01,15100000.0,115.0,15000000.0,en,"Drama, Romance",7.1,134300.0
906,Blood Diamond,2006-12-08,171700000.0,143.0,100000000.0,en,"Drama, Thriller, Action",8.0,594845.0
912,Shortbus,2006-10-04,5557564.0,101.0,2000000.0,en,"Romance, Drama, Comedy",6.4,35786.0
915,The Fountain,2006-11-22,15304890.0,96.0,35000000.0,en,"Drama, Adventure, Science Fiction, Romance",7.2,250603.0
922,Born Into Brothels: Calcutta's Red Light Kids,2004-12-08,3529201.0,85.0,350000.0,en,Documentary,7.2,18169.0
928,The Pursuit of Happyness,2006-12-14,307077295.0,117.0,55000000.0,en,Drama,8.0,573200.0
940,Party Monster,2003-09-05,742898.0,98.0,5000000.0,en,"Comedy, Drama, Crime",6.2,17424.0
947,The Departed,2006-10-04,291465000.0,151.0,90000000.0,en,"Drama, Thriller, Crime",8.5,1446693.0
951,Perfume: The Story of a Murderer,2006-09-13,135039924.0,147.0,60000000.0,en,"Crime, Fantasy, Drama",7.5,268658.0
952,Once Upon a Time in Mexico,2003-09-11,98200000.0,102.0,29000000.0,en,"Action, Drama, Mystery",6.3,171299.0
956,Tarnation,2003-10-19,1162014.0,91.0,218.0,en,"Documentary, Drama",7.1,6759.0
961,Little Children,2006-10-06,14821658.0,137.0,26000000.0,en,"Drama, Romance",7.5,118000.0
962,The Contract,2006-04-05,5549200.0,96.0,25000000.0,en,"Drama, Action, Thriller, Crime",5.6,26326.0
967,Blood: The Last Vampire,2009-04-02,5874530.0,91.0,30000000.0,en,"Action, Adventure, Horror, Science Fiction, Thriller",5.3,15358.0
968,Superman Returns,2006-06-28,391081192.0,154.0,223000000.0,en,"Science Fiction, Action, Adventure",6.1,293212.0
976,Hellboy,2004-04-02,99318987.0,122.0,66000000.0,en,"Fantasy, Action",6.9,355220.0
979,The Illusionist,2006-08-18,87892388.0,110.0,16500000.0,en,"Fantasy, Drama, Thriller, Romance",7.5,392839.0
983,Kingdom of Heaven,2005-05-03,218100001.0,144.0,130000000.0,en,"Drama, Action, Adventure, History, War",7.3,322944.0
988,The Last King of Scotland,2006-01-12,48600000.0,123.0,6000000.0,en,Drama,7.6,198080.0
989,Pathfinder,2007-01-11,30800000.0,99.0,45000000.0,en,"Adventure, Action",5.4,46599.0
992,Collateral,2004-08-04,220239925.0,120.0,65000000.0,en,"Drama, Crime, Thriller",7.5,439490.0
998,Imagine Me & You,2006-01-27,2500000.0,93.0,1000000.0,en,"Drama, Comedy, Romance",6.7,36709.0
1015,28 Weeks Later,2007-04-26,65100000.0,100.0,15000000.0,en,"Horror, Thriller, Science Fiction",6.9,298796.0
1022,Live Free or Die Hard,2007-06-20,383531464.0,128.0,110000000.0,en,"Action, Thriller",7.1,424025.0
1027,Resident Evil: Apocalypse,2004-09-10,129400000.0,94.0,45000000.0,en,"Horror, Action, Science Fiction",6.1,212496.0
1029,Apocalypto,2006-12-07,120654337.0,139.0,40000000.0,en,"Action, Drama, History",7.8,336239.0
1031,The Holiday,2006-12-08,194168700.0,136.0,85000000.0,en,"Comedy, Romance",7.0,328459.0
1033,School of Rock,2003-10-03,131100000.0,110.0,35000000.0,en,"Comedy, Music",7.2,337126.0
1035,Secret Window,2004-03-12,92900000.0,96.0,40000000.0,en,"Mystery, Thriller",6.5,212259.0
1039,Copying Beethoven,2006-09-10,6191746.0,104.0,11000000.0,en,Drama,6.7,14197.0
1042,Night at the Museum,2006-12-20,574480841.0,108.0,110000000.0,en,"Action, Adventure, Comedy, Family, Fantasy",6.5,384284.0
1048,I ♥ Huckabees,2004-09-10,20100000.0,106.0,22000000.0,en,"Comedy, Romance",6.5,66547.0
1061,Hitman,2007-11-21,99965753.0,94.0,24000000.0,en,"Action, Thriller, Drama",6.2,180168.0
1075,The Island,2005-07-21,162949164.0,136.0,126000000.0,en,"Action, Thriller, Science Fiction, Adventure",6.8,330720.0
1079,Crash,2005-05-06,98400000.0,112.0,6500000.0,en,Drama,7.7,451613.0
1085,Freedom Writers,2007-01-05,43095175.0,123.0,21000000.0,en,"Crime, Drama",7.6,86456.0
1086,The Recruit,2003-01-31,101200000.0,115.0,46000000.0,en,"Action, Thriller",6.6,143314.0
1095,The Legend of Zorro,2005-10-24,142400000.0,129.0,75000000.0,en,"Action, Adventure, Western",6.0,108988.0
1102,Last Days,2005-06-12,1900000.0,97.0,5000000.0,en,Drama,5.7,23990.0
1103,The Bridge,2006-10-27,179780.0,93.0,25000.0,en,Documentary,7.2,12347.0
1111,Ray,2004-10-29,124700000.0,152.0,40000000.0,en,"Drama, Music",7.7,158946.0
1116,The Reaping,2007-04-05,62771059.0,99.0,40000000.0,en,Horror,5.6,44946.0
1123,Hostel,2005-09-17,81979826.0,94.0,4800000.0,en,Horror,5.9,193934.0
1124,Hostel: Part II,2007-06-07,35728183.0,93.0,10200000.0,en,Horror,5.5,97407.0
1127,The Devil's Rejects,2005-07-22,20901859.0,111.0,7000000.0,en,"Drama, Horror, Crime",6.7,107069.0
1142,All the King's Men,2006-09-10,9450897.0,125.0,55000000.0,en,"Drama, Thriller",6.1,25784.0
1149,The Incredible Hulk,2008-06-12,264770996.0,114.0,150000000.0,en,"Science Fiction, Action, Adventure",6.6,531582.0
1151,Iron Man,2008-04-30,585174222.0,126.0,140000000.0,en,"Action, Science Fiction, Adventure",7.9,1144910.0
1154,Inland Empire,2006-12-06,4304157.0,180.0,15000000.0,en,"Thriller, Mystery, Fantasy, Horror",6.8,63493.0
1155,Helen,2009-11-26,34820.0,120.0,8000000.0,en,Drama,6.2,2238.0
1158,The Mummy: Tomb of the Dragon Emperor,2008-07-01,403449830.0,112.0,145000000.0,en,"Adventure, Action, Fantasy",5.2,172805.0
1160,Next,2007-04-25,76066841.0,96.0,70000000.0,en,"Action, Science Fiction, Thriller",6.2,168131.0
1164,Captain America: The First Avenger,2011-07-22,370569774.0,124.0,140000000.0,en,"Action, Adventure, Science Fiction",6.9,911085.0
1170,Fahrenheit 9/11,2004-06-25,222400000.0,123.0,6000000.0,en,Documentary,7.5,132956.0
1173,An Inconvenient Truth,2006-05-24,46243000.0,100.0,1000000.0,en,Documentary,7.4,85592.0
1183,Stuck on You,2003-12-10,65784503.0,119.0,55000000.0,en,Comedy,5.8,55476.0
1187,Elephant,2003-09-20,10000000.0,81.0,3000000.0,en,"Crime, Drama",7.1,98662.0
1197,Phone Booth,2003-04-04,97837138.0,81.0,13000000.0,en,"Thriller, Crime",7.1,289665.0
1199,"You, Me and Dupree",2006-07-13,130628903.0,108.0,54000000.0,en,"Comedy, Romance",5.6,84602.0
1200,50 First Dates,2004-02-13,196482882.0,99.0,75000000.0,en,"Comedy, Romance",6.8,388981.0
1204,Lord of War,2005-09-16,72600000.0,122.0,50000000.0,en,"Crime, Drama, Thriller",7.6,341915.0
1207,Rent,2005-11-17,31670620.0,135.0,40000000.0,en,"Drama, Romance",6.8,56345.0
1226,World Trade Center,2006-08-09,163200000.0,129.0,65000000.0,en,"Drama, History, Thriller",6.0,88715.0
1231,Transformers,2007-06-27,709709780.0,144.0,150000000.0,en,"Adventure, Science Fiction, Action",7.1,683831.0
1238,Pirates of the Caribbean: On Stranger Tides,2011-05-15,1045700000.0,137.0,379000000.0,en,"Adventure, Action, Fantasy",6.6,573137.0
1256,Marie Antoinette,2006-05-24,60917189.0,123.0,40000000.0,en,"Drama, History",6.5,124375.0
1264,Star Wars: Episode III - Revenge of the Sith,2005-05-17,850000000.0,140.0,113000000.0,en,"Adventure, Action, Science Fiction",7.6,860155.0
1271,Memoirs of a Geisha,2005-12-06,162242962.0,146.0,85000000.0,en,"Drama, Romance, History",7.3,163373.0
1285,Away from Her,2007-05-04,9194283.0,110.0,3000000.0,en,"Drama, Romance",7.5,23230.0
1293,Hulk,2003-06-19,245360480.0,138.0,137000000.0,en,"Science Fiction, Adventure, Action",5.6,281734.0
1294,The Amazing Spider-Man,2012-06-23,757930663.0,136.0,215000000.0,en,"Action, Adventure, Science Fiction",6.9,714964.0
